Model,MAE,MAE_CI,RMSE,RMSE_CI,R2,R2_CI
Linear Regression,6.5780021495422165,"[5.012, 7.136]",8.212082380399597,"[6.675, 8.768]",0.23270508508117743,"[0.130, 0.493]"
Random Forest,1.296576753292117,"[1.238, 1.380]",2.319287576217914,"[2.125, 2.466]",0.9390518700939531,"[0.932, 0.948]"
