Model,MAE,MAE_CI,RMSE,RMSE_CI,R2,R2_CI
Linear Regression,5.348626973625713,"[5.268, 5.436]",6.812485005016066,"[6.674, 6.925]",0.47374605570629047,"[0.459, 0.489]"
Random Forest,1.2429989185568828,"[1.221, 1.275]",2.2558072107454774,"[2.120, 2.348]",0.9422451959037741,"[0.937, 0.949]"
